J1,J2,Score,Matchup,Date
Gerard Palace,Skeel,3-2,Peach-Dr.Mario,02/02/2018
Pickas,Joon,3-2,Fox-Falco,02/02/2018
Hank,Touakak,3-0,Falcon-Sheik,02/02/2018
Le Chevalier Bayard,Gerard Palace,3-0,Sheik-Peach,02/02/2018
Vale,Max,3-0,Ganondorf-Marth,02/02/2018
Sakuya,Pickas,3-0,Marth-Fox,02/02/2018
Psylo,Hank,3-0,Falco-Falcon,02/02/18
Hank,Skeel,3-1,Falcon-Dr.Mario,02/02/18
Max,Joon,3-0,Marth-Falco,02/02/18
Gerard Palace,Touakak,3-0,Peach-Sheik,02/02/18
Pickas,Hank,3-1,Fox-Falcon,02/02/18
Max,Gerard Palace,3-1,Marth-Peach,02/02/18
Le Chevalier Bayard,Vale,3-0,Sheik-Ganondorf,02/02/18
Sakuya,Psylo,3-0,Marth-Falco,02/02/18
Vale,Pickas,2-3,Fox-Ganondorf,02/02/18
Psylo,Max,3-0,Marth-Falco,02/02/18
Pickas,Psylo,1-3,Falco-Fox,02/02/18
Le Chevalier Bayard,Sakuya,3-1,Marth-Sheik,02/02/18
Sakuya,Psylo,3-1,Falco-Marth,02/02/18
Le Chevalier Bayard,Sakuya,1-3,Marth-Sheik,02/02/18
Sakuya,Le Chevalier Bayard,3-2,Sheik-Marth,02/02/18
Psylo,Sath,3-0,Sheik-Falco,02/02/18
Psylo,Sath,3-0,Dr.mario-Falco,02/02/18
Psylo,Sath,3-0,Dr.mario-Falcon,02/02/18
Sath,Skeel,2-3,Dr.mario-Sheik,02/02/18
Sath,Skeel,3-0,Dr.mario-Sheik,02/02/18
Psylo,Sakuya,0-3,Marth-Falco,02/02/18
Psylo,Sakuya,1-2,Marth-Falco,02/02/18
